,close,Prediction,Ratio
0,63.150002,63.900002,1.1876484184434322
1,63.900002,65.0,1.7214365658392294
2,65.0,64.849998,-0.23077230769230628
3,64.849998,63.450001,-2.15882350528368
4,63.450001,63.799999,0.5516122844505533
5,63.799999,62.349998,-2.272728875748098
6,62.349998,62.0,-0.5613440436678108
7,62.0,62.25,0.40322580645162365
8,62.25,62.25,0.0
9,62.25,62.400002,0.24096706827310133
10,62.400002,63.599998,1.9230704511836283
11,63.599998,63.25,-0.5503113380601055
12,63.25,63.400002,0.23715731225295578
13,63.400002,63.900002,0.7886435082446797
14,63.900002,64.849998,1.4866916592584767
15,64.849998,64.699997,-0.23130455609267075
16,64.699997,65.550003,1.3137651304682585
17,65.550003,65.300003,-0.38138823578696135
18,65.300003,65.050003,-0.38284837444800823
19,65.050003,66.0,1.4604103861455497
20,66.0,65.75,-0.37878787878787845
21,65.75,65.949997,0.3041779467680472
22,65.949997,65.949997,0.0
23,65.949997,65.5,-0.6823305844881222
24,65.5,65.5,0.0
25,65.5,65.900002,0.6106900763358736
26,65.900002,64.550003,-2.0485568422289213
27,64.550003,64.199997,-0.5422246068679581
28,64.199997,63.75,-0.7009299392957802
29,63.75,63.299999,-0.7058839215686286
30,63.299999,63.200001,-0.15797472603436002
31,63.200001,63.299999,0.15822468104074172
32,63.299999,64.300003,1.579785175036097
33,64.300003,65.550003,1.9440123509792073
34,65.550003,65.400002,-0.22883446702512966
35,65.400002,64.099998,-1.9877736395176315
36,64.099998,63.650002,-0.7020218627775909
37,63.650002,62.900002,-1.1783188946325573
38,62.900002,62.150002,-1.1923688015145095
39,62.150002,62.25,0.160897822658157
40,62.25,61.599998,-1.0441799196787116
41,61.599998,61.150002,-0.7305130107309377
42,61.150002,62.349998,1.9623809660709313
43,62.349998,61.400002,-1.5236504097401848
44,61.400002,62.299999,1.4657931118634115
45,62.299999,62.299999,0.0
46,62.299999,62.599998,0.48153933357206746
47,62.599998,61.950001,-1.0383338989882973
48,61.950001,61.950001,0.0
49,61.950001,62.799999,1.3720710028721328
50,62.799999,61.950001,-1.353500021552545
51,61.950001,61.200001,-1.2106537334842016
52,61.200001,62.400002,1.9607859156734353
53,62.400002,62.299999,-0.16026121281214056
54,62.299999,62.400002,0.1605184616455535
55,62.400002,61.75,-1.0416698384080214
56,61.75,62.5,1.2145748987854255
57,62.5,61.5,-1.6000000000000014
58,61.5,60.75,-1.2195121951219523
59,60.75,60.549999,-0.32921975308641827
60,60.549999,59.849998,-1.1560710347823466
61,59.849998,59.400002,-0.7518730409982632
62,59.400002,59.450001,0.08417339783928224
63,59.450001,60.349998,1.5138721360156149
64,60.349998,61.049999,1.15990227539029
65,61.049999,60.75,-0.49139886144797806
